corticalthickness_t1,p_id
2.971128309,132
2.942309212,128
2.832867998,121
2.756512262,120
2.811768772,119
2.740566462,114
3.074698539,113
2.797666331,109
2.789712575,108
2.791562895,106
2.764237466,105
2.784949352,104
2.934022908,103
2.98653023,101
2.912801509,99
2.79461472,98
2.731303726,97
2.742508486,96
3.007072266,94
2.86220228,93
2.719821804,92
3.034172165,90
3.13669962,88
2.919410618,86
2.8709269,85
2.882911883,81
3.006986509,80
2.8922788,79
2.856814132,78
2.865151592,74
2.942651732,73
2.786948663,68
2.737929247,66
2.909411402,61
2.983611616,58
2.764689065,55
2.952924045,50
2.787712408,48
2.965281474,47
3.02173735,45
2.930738442,41
2.76209539,40
2.720288067,39
3.043866026,38
2.758344702,34
3.063573887,33
2.787885943,32
2.699339842,31
2.554355588,30
2.841317213,29
2.939334371,27
2.785599709,22
2.924881761,21
2.91165955,19
2.949341189,15
2.928241447,14
2.809400976,13
2.838078735,12
2.78952456,9
2.959438057,8
2.861072419,6
2.896056535,4
2.767757579,3
2.884008392,2
2.875027084,1
