p_id,session,age,group,corsi_acc_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_error_t,PBI_error_t,cf_switch_acc_t,psedooneFArate_t,psedotwoFArate_t,stroop_error_t,flankerswitch_error_t,flank_inh_error_t
1,0,12.444445,1,.5714286,7,17,-5.3971009,291,-.16666667,-.59997439,12.918655,0,.10714286,-.027777776,.047619045,.1
1,1,12.444445,1,.64285713,,17,-5.3971009,238,-.1969697,-.37142858,9.0909119,.035714287,.10714286,.1388889,.22619048,.038888894
1,2,12.444445,1,.5,7,17,-5.3971009,96.470589,.081818186,.2903226,9.0909119,,,,,
2,0,9.8249998,2,.5,5,29,-2.6577597,226,.083333336,.33329782,-5.2631607,0,.071428575,.083333336,.10714287,.050000001
2,1,9.8249998,2,.5,,29,-2.6577597,269,.25,.71426612,-21.052635,0,.071428575,0,.30952382,0
2,2,9.8249998,2,.5,7,29,-2.6577597,103,0,0,17.194565,,,,,
3,0,12.463889,2,.5714286,,23,-7.271596,196,.083333336,.33329782,0,.071428575,.035714287,-.055555556,.10714287,.050000001
3,1,12.463889,2,.5,,23,-7.271596,208,.083333328,.19999999,12.918655,0,0,-.027777778,-.21428573,.050000001
3,2,12.463889,2,.5714286,7,23,-7.271596,190,.083333336,.33329782,9.5022583,,,,,
4,0,11.838889,1,.42857143,5,11,-10.068747,245.46153,.1388889,.38461539,27.272728,0,.035714287,.055555552,.21428573,-.1
4,1,11.838889,1,.42857143,6,11,-10.068747,278,0,0,7.6555023,.10714286,.035714287,.083333336,.083333313,.050000001
4,2,11.838889,1,.5,6,11,-10.068747,205.22223,0,0,0,,,,,
5,0,7.6111112,2,.2857143,,21,-12.128778,,-.083333336,-.33329782,-15.789474,.14285715,.10714286,-.02777778,-.11904758,0
5,1,7.6111112,2,.42857143,4,21,-12.128778,,,,4.784687,0,0,-.027777784,.41666666,.1264706
5,2,7.6111112,2,.2857143,,21,-12.128778,255.88889,0,0,0,,,,,
6,0,7.8944445,2,.5,6,24,-11.140738,155,-.16666666,-.5,3.8277512,.071428575,.21428572,.1388889,.071428597,.049999997
6,1,7.8944445,2,.42857143,5,24,-11.140738,325,-.49999997,-.75,9.0909119,.14285715,.42857143,.027777778,.059523821,.25
6,2,7.8944445,2,.5714286,7,24,-11.140738,240.76471,0,0,0,,,,,
7,0,7.0194445,2,.42857143,4,20,-.39788103,,.45454547,.71428573,28.229668,.14285715,.10714286,.11111112,.30952379,-.0052631572
7,1,7.0194445,2,.42857143,4,20,-.39788103,320,-.16666667,-.33333334,-6.6985626,.10714286,.14285715,-.083333343,-.059523821,-.014619887
7,2,7.0194445,2,.5,5,20,-.39788103,197.78947,-.16666667,-.59997439,-11.764709,,,,,
8,0,6.7472224,1,.35714287,4,21,-4.9240685,329,-.16666666,-.5,,.071428575,0,.16666666,,
8,1,6.7472224,1,.35714287,5,21,-4.9240685,283,-.083333328,-.19999999,-2.8708191,.14285715,.035714287,.11111112,.15476194,.10526314
8,2,6.7472224,1,.5,6,21,-4.9240685,218.22223,-.083333336,-.33329782,-2.8708191,,,,,
9,0,9.8166666,1,.5,6,15,-3.7435279,323,-.16666667,-.59997439,-1.4354019,0,.035714287,-.083333336,-.047619045,-.049999997
9,1,9.8166666,1,.5,6,15,-3.7435279,242,-.16666666,-.5,3.8277512,.035714287,.17857143,.027777778,,
9,2,9.8166666,1,.42857143,6,15,-3.7435279,275.11111,-.33333334,-.777762,0,,,,,
